iter	Passed	Remaining
403	7966	1893
404	7985	1873
405	8005	1853
406	8027	1834
407	8050	1815
408	8068	1795
409	8085	1774
410	8108	1755
411	8125	1735
412	8144	1715
413	8163	1695
414	8181	1675
415	8199	1655
416	8220	1636
417	8239	1616
418	8256	1596
419	8277	1576
420	8298	1557
421	8316	1537
422	8335	1517
423	8352	1497
424	8371	1477
425	8387	1456
426	8409	1437
427	8427	1417
428	8446	1397
429	8466	1378
430	8485	1358
431	8505	1338
432	8523	1318
433	8541	1298
434	8559	1278
435	8577	1259
436	8596	1239
437	8616	1219
438	8636	1199
439	8654	1180
440	8674	1160
441	8690	1140
442	8711	1120
443	8730	1101
444	8745	1080
445	8767	1061
446	8785	1041
447	8802	1021
448	8821	1002
449	8847	983
450	8865	963
451	8884	943
452	8902	923
453	8922	904
454	8941	884
455	8959	864
456	8976	844
457	8995	824
458	9009	804
459	9030	785
460	9047	765
461	9066	745
462	9083	725
463	9099	706
464	9119	686
465	9136	666
466	9154	646
467	9175	627
468	9192	607
469	9208	587
470	9229	568
471	9245	548
472	9264	528
473	9281	509
474	9300	489
475	9319	469
476	9340	450
477	9355	430
478	9378	411
479	9403	391
480	9422	372
481	9439	352
482	9459	332
483	9480	313
484	9503	293
485	9521	274
486	9539	254
487	9559	235
488	9576	215
489	9594	195
490	9615	176
491	9638	156
492	9659	137
493	9680	117
494	9698	97
495	9719	78
496	9738	58
497	9759	39
498	9778	19
499	9798	0
