iter	Logloss
0	0.5032021321
1	0.3973468062
2	0.3382280625
3	0.3055277583
4	0.2860765638
5	0.2735720918
6	0.2667558106
7	0.261066404
8	0.2581168026
9	0.2555872011
10	0.2541212641
11	0.2528982163
12	0.2519134719
13	0.2509467643
14	0.2502417673
15	0.2497535207
16	0.2491662548
17	0.2488241402
18	0.2484879227
19	0.2481730996
20	0.2478732729
21	0.2476287306
22	0.2473923992
23	0.247192406
24	0.2469951895
25	0.2467728003
26	0.2466235469
27	0.2464798908
28	0.2463539352
29	0.2462389173
30	0.246121496
31	0.2459872693
32	0.2458235704
33	0.2457022342
34	0.2456095064
35	0.2454661928
36	0.2453820528
37	0.2452761268
38	0.2451076568
39	0.2449447075
40	0.244808085
41	0.2446876213
42	0.2445537874
43	0.2444648252
44	0.2444122768
45	0.2443316541
46	0.2442315843
47	0.2441235599
48	0.2440008449
49	0.2439150478
50	0.2437957872
51	0.2436971825
52	0.2436072642
53	0.2435565586
54	0.2434389762
55	0.2433244206
56	0.2431796518
57	0.2430887584
58	0.2429906537
59	0.2428677318
60	0.2427878477
61	0.24268974
62	0.2425456533
63	0.2424352427
64	0.2423169312
65	0.2422115014
66	0.2421168288
67	0.2420373996
68	0.241852916
69	0.2417714161
70	0.2416885522
71	0.2415760699
72	0.2415345451
73	0.2414075832
74	0.2413051999
75	0.2412051155
76	0.2410980013
77	0.240994837
78	0.2409032101
79	0.2407739174
80	0.240685515
81	0.2406306705
82	0.2405454096
83	0.240476881
84	0.2403888717
85	0.2402937964
86	0.2401780061
87	0.240084235
88	0.2400128487
89	0.2398252481
90	0.2397248705
91	0.2396687166
92	0.2395751611
93	0.2395151048
94	0.2394609144
95	0.2393536241
96	0.2392648371
97	0.2392168183
98	0.2392105048
99	0.2391404031
100	0.2390127907
101	0.2389350389
102	0.2388533625
103	0.2387720038
104	0.2387207962
105	0.2386681196
106	0.2385793049
107	0.2384868494
108	0.2384130928
109	0.2383754676
110	0.2382884401
111	0.2382009039
112	0.2381157442
113	0.2380300839
114	0.2379654205
115	0.2378773397
116	0.2377801736
117	0.2377036492
118	0.2376164254
119	0.2375301448
120	0.2374493544
121	0.2373438161
122	0.2372426426
123	0.2371444879
124	0.2370733499
125	0.2369905773
126	0.2369310213
127	0.2368644335
128	0.236829184
129	0.2367985712
130	0.2367491791
131	0.2366502512
132	0.2365916341
133	0.236522454
134	0.2364279654
135	0.236372449
136	0.2363153698
137	0.2362434352
138	0.236168831
139	0.2361130613
140	0.2360460864
141	0.2359463561
142	0.2358756299
143	0.2358166492
144	0.2357557365
145	0.2356886535
146	0.235612636
147	0.2355596316
148	0.235457356
149	0.2354016759
150	0.2353591958
151	0.2353067222
152	0.2352065546
153	0.2351593905
154	0.2350798791
155	0.2350130185
156	0.2349368027
157	0.2348659582
158	0.234794726
159	0.2347220727
160	0.2346610112
161	0.2346102846
162	0.2345579345
163	0.234530069
164	0.2344744395
165	0.2343925083
166	0.2343349132
167	0.2342861397
168	0.2342063998
169	0.2341170023
170	0.2340118833
171	0.2339375846
172	0.233871899
173	0.2338058928
174	0.2337369571
175	0.2337291333
176	0.2336551822
177	0.2335888522
178	0.2335070653
179	0.2334159296
180	0.2333444799
181	0.2332646418
182	0.2331878719
183	0.2331316775
184	0.2330434104
185	0.232978997
186	0.2329132162
187	0.2328640579
188	0.2327755357
189	0.2327294451
190	0.2326588541
191	0.2325994805
192	0.2325483039
193	0.2325053874
194	0.2324170265
195	0.2323512022
196	0.2322939035
197	0.2322323715
198	0.2321446774
199	0.2320420525
200	0.231973612
201	0.231884794
202	0.2318021333
203	0.2317166722
204	0.2316447911
205	0.2315553185
206	0.2314933629
207	0.2314017231
208	0.2313332651
209	0.2312352012
210	0.2311495106
211	0.2311010611
212	0.2310249732
213	0.2309444963
214	0.2308443606
215	0.2307951792
216	0.2307195934
217	0.2306550791
218	0.2305629947
219	0.2304619325
220	0.2304136178
221	0.2303804325
222	0.2302990472
223	0.2302129467
224	0.2301364186
225	0.2300931208
226	0.23007415
227	0.2300030474
228	0.22993092
229	0.2298451242
230	0.2297643008
231	0.2296812866
232	0.2295906026
233	0.2295860942
234	0.2295291894
235	0.2294671069
236	0.2294072201
237	0.2293316909
238	0.2292522521
239	0.2292006223
240	0.2291330717
241	0.2290688083
242	0.2289861508
243	0.2289230103
244	0.2288705176
245	0.2288050749
246	0.2287874732
247	0.2287618483
248	0.2287134807
249	0.2286805486
250	0.228619085
251	0.2285852189
252	0.2285248391
253	0.228464501
254	0.2283856774
255	0.2283099655
256	0.2282346901
257	0.228188482
258	0.2281146616
259	0.2280543576
260	0.2279984421
261	0.2279711106
262	0.2279380278
263	0.227872132
264	0.2278022328
265	0.2277311939
266	0.227681599
267	0.2276161026
268	0.227563633
269	0.2275183476
270	0.2274589123
271	0.2274063407
272	0.2273666047
273	0.22728747
274	0.2272432346
275	0.2271642403
276	0.2271003167
277	0.2270248324
278	0.2269706652
279	0.2269192898
280	0.2268325652
281	0.2267787266
282	0.2267441915
283	0.2266697752
284	0.2265936534
285	0.2265203719
286	0.2265021032
287	0.2264361359
288	0.2264041544
289	0.2263611261
290	0.2262840574
291	0.2262057484
292	0.226143349
293	0.2260505439
294	0.2259859709
295	0.2259137891
296	0.2258268697
297	0.2257797317
298	0.2257336224
299	0.2257040568
300	0.2256283335
301	0.2255945755
302	0.2255506709
303	0.2255128332
304	0.2254844147
305	0.2254348347
306	0.2253906673
307	0.2253531722
308	0.2252946885
309	0.2252459362
310	0.2251784676
311	0.2250919065
312	0.2250751408
313	0.225003973
314	0.2249166014
315	0.2248509615
316	0.2247754782
317	0.2247137522
318	0.2246585152
319	0.2245938224
320	0.2245402148
321	0.2245021246
322	0.2244060372
323	0.2243615262
324	0.2242900421
325	0.2242658406
326	0.2241900186
327	0.2241362591
328	0.2240972418
329	0.2240074974
330	0.223926877
331	0.223841426
332	0.2237790148
333	0.2237188427
334	0.2236442233
335	0.2236017828
336	0.2235167857
337	0.2234576219
338	0.2234022307
339	0.2233484378
340	0.2233026491
341	0.2232172757
342	0.2231586554
343	0.223126892
344	0.2230511732
