iter	Logloss
345	0.2229702807
346	0.2228985807
347	0.2228179417
348	0.2227758968
349	0.2227196413
350	0.2226613999
351	0.2226450372
352	0.2225581428
353	0.2224908221
354	0.2224281538
355	0.2224010215
356	0.222321675
357	0.2222402196
358	0.2222082284
359	0.222144222
360	0.2220760537
361	0.2220447742
362	0.2219984377
363	0.2219527069
364	0.2219012548
365	0.2218200994
366	0.2217664021
367	0.2217237912
368	0.2216851715
369	0.2216343502
370	0.2215506901
371	0.2214846204
372	0.2214383625
373	0.2213806856
374	0.2213116919
375	0.221253763
376	0.2212170949
377	0.2211550241
378	0.2210945688
379	0.2210428026
380	0.2210111835
381	0.2209895503
382	0.2209664414
383	0.22092971
384	0.2208905731
385	0.2208302292
386	0.2207774322
387	0.2207671351
388	0.2207163421
389	0.2206631724
390	0.2205881038
391	0.2204992266
392	0.2204415769
393	0.2203827028
394	0.2203388274
395	0.2203063813
396	0.2202379348
397	0.2201855146
398	0.220146757
399	0.2200653371
400	0.2199900187
401	0.2199114404
402	0.2198500627
403	0.2197618695
404	0.2197057259
405	0.2196267701
406	0.2195843986
407	0.2195082649
408	0.2194596973
409	0.2194187791
410	0.2193560927
411	0.2193354055
412	0.2192919405
413	0.2192574244
414	0.2191904713
415	0.2191310374
416	0.21908086
417	0.2190087469
418	0.2189974536
419	0.2189272059
420	0.2188657704
421	0.2187978954
422	0.2187411591
423	0.218682682
424	0.2185948415
425	0.2185731181
426	0.2184920731
427	0.218453633
428	0.2184047577
429	0.2183814819
430	0.2183597692
431	0.218298143
432	0.2182531345
433	0.2181994579
434	0.218169009
435	0.2181052664
436	0.2180518663
437	0.2179950819
438	0.2179250098
439	0.2178459248
440	0.2177887712
441	0.2177328014
442	0.2176445873
443	0.2175974066
444	0.2175689822
445	0.2174932029
446	0.2174324346
447	0.2173729907
448	0.2173371316
449	0.2172778571
450	0.2172176434
451	0.2171545509
452	0.2171060318
453	0.2170344542
454	0.2169759072
455	0.2169114933
456	0.2168384741
457	0.2167720097
458	0.2167356881
459	0.2166613827
460	0.2165986377
461	0.2165449403
462	0.2164781854
463	0.2164475927
464	0.2164234024
465	0.2163763855
466	0.2163284446
467	0.2162834683
468	0.2162484021
469	0.2162197323
470	0.2161558361
471	0.2161024743
472	0.2160347339
473	0.2159967011
474	0.2159291778
475	0.2158507152
476	0.2157932389
477	0.2157928418
478	0.2157112986
479	0.215631023
480	0.2156021982
481	0.2155625269
482	0.2155340016
483	0.2154642515
484	0.2154153065
485	0.2153452936
486	0.2152853293
487	0.2152155757
488	0.215172959
489	0.215126556
490	0.2150752417
491	0.2150033732
492	0.2149226118
493	0.2148646045
494	0.2148298615
495	0.214761187
496	0.2146831163
497	0.2146263679
498	0.2145627797
499	0.2144970886
